filename,title,description,keywords,category,releases_needed
concept_001_1.jpg,Minimalist Home Office Setup with Laptop and Plants,"A clean and minimalist home office setup featuring a wooden desk with a laptop, ergonomic office chair, and several indoor potted plants. Soft natural daylight streams through a large window, creating a neutral and calming atmosphere. The workspace is tidy and free of clutter, logos, or people, ideal for modern remote work environments.","home office, minimalist, remote work, workspace, laptop, wooden desk, office chair, ergonomic chair, potted plants, indoor plants, natural light, daylight, window, clean desk, tidy workspace, neutral colors, calming, modern office, interior design, work from home, technology, professional, contemporary, plant decor, office setup, comfortable chair, minimal decor, bright room, quiet space, home interior, wood furniture, plant arrangement, natural environment, healthy workspace, productive space, simple design, laptop computer, desk accessories, office mug",Business & Finance,[]
concept_001_3.jpg,Minimalist Home Office Setup with Laptop and Indoor Plants,"A minimalist home office corner featuring a wooden desk with a laptop, wireless keyboard and mouse, a coffee mug, and indoor plants. The ergonomic grey office chair with a beige cushion is positioned next to the desk. Soft natural light filters through sheer curtains, illuminating the neutral-toned room with a calming and clean aesthetic. A small shelf with books and decorative items hangs on the wall above the desk.","minimalist, home office, remote work, workspace, laptop, wooden desk, ergonomic chair, indoor plants, natural light, neutral colors, calm, modern, interior design, office setup, work from home, clean, organized, decor, shelf, books, coffee mug, wireless keyboard, wireless mouse, curtains, cushion, plant pot, soft lighting, comfortable, minimal decor, technology, productivity, desk accessories, natural materials, calming space, square format, social media",Technology,[]
concept_001_4.jpg,Minimalist Home Office with Laptop and Indoor Plants,"A minimalist home office setup featuring a wooden desk with a laptop, a gray ergonomic office chair, several indoor potted plants, and soft natural daylight coming through sheer white curtains. The scene is styled with neutral calming colors and emphasizes a clean, modern remote work environment without any logos or people.","home office, remote work, minimalist, wooden desk, laptop, ergonomic chair, indoor plants, natural light, daylight, neutral colors, modern workspace, clean design, office setup, work from home, interior design, calming colors, plant decor, potted plants, office chair, technology, workspace, desk setup, comfortable chair, natural decor, minimalism, bright room, home interior, organized desk, wood floor, window light, serene environment, no people, no logos, no brands, no text, no watermarks, soft daylight",Technology,[]
concept_002_1.jpg,Flat Lay of Zero Waste Lifestyle Essentials on Linen Fabric,"A flat lay composition of eco-friendly zero waste lifestyle essentials arranged on a natural linen fabric background. Items include bamboo toothbrushes, metal reusable straws with cleaning brush, reusable cloth bags, glass jars filled with lentils, oats, almonds, pumpkin seeds, and sunflower seeds, and beeswax food wraps. The image features natural colors, sharp focus, and even lighting, emphasizing sustainable and plastic-free household products.","zero waste, eco friendly, sustainable living, bamboo toothbrush, metal straws, reusable straws, cleaning brush, cloth bags, reusable bags, mesh produce bag, glass jars, food storage, lentils, oats, almonds, pumpkin seeds, sunflower seeds, beeswax wraps, plastic free, natural fabric, linen background, flat lay, kitchen essentials, environmentally friendly, minimal waste, green lifestyle, organic materials, home organization, eco products, sustainable kitchen, bulk food storage, natural colors, texture detail, even lighting, no logos, no brands, zero waste essentials",Lifestyle,False
concept_002_2.jpg,Flat Lay of Zero Waste Lifestyle Essentials on Linen Fabric,"Top view flat lay of reusable household items arranged on natural linen fabric, featuring bamboo toothbrush, metal straws with cleaning brush in a fabric pouch, glass jars filled with dry food, cloth bags, beeswax wraps, and cotton reusable pads. Soft natural light highlights the textures and neutral color palette, promoting sustainable living and eco-friendly alternatives.","zero waste, sustainable living, eco friendly, reusable, bamboo toothbrush, metal straws, cleaning brush, cloth bags, glass jars, dry food storage, linen fabric, beeswax wraps, cotton pads, natural light, flat lay, environmentally friendly, plastic free, minimal waste, green lifestyle, eco products, kitchen essentials, organic, neutral colors, texture, home organization, eco conscious, sustainable products, natural materials, plant based, lavender sprigs, eucalyptus leaves, clean living, eco packaging, bulk storage, reusable straws, eco habits, plastic alternative",Lifestyle,False
concept_002_3.jpg,Zero Waste Lifestyle Essentials Flat Lay on Linen Background,"Flat lay of zero waste lifestyle essentials including a bamboo toothbrush, metal straws with cleaning brush, reusable cloth bags, glass jars filled with lentils, chickpeas, and oats, a wooden dish brush, and beeswax food wraps, all arranged on a natural linen fabric background. The image features neutral tones and natural textures, emphasizing eco-friendly and sustainable living without any visible branding or logos.","zero waste, sustainable living, eco friendly, flat lay, bamboo toothbrush, metal straws, straw cleaner, reusable bags, cloth bags, glass jars, lentils, chickpeas, oats, wooden brush, dish brush, beeswax wraps, food storage, natural linen, neutral tones, plastic free, environmentally friendly, minimal waste, green lifestyle, eco essentials, organic materials, sustainable products, reusable items, kitchen essentials, natural textures, eco conscious, clean living, eco home, eco accessories, environmental care, waste reduction, eco habits, zero waste kitchen",Lifestyle,False
concept_003_1.jpg,Serene At-Home Yoga and Meditation Corner with Natural Light,"A cozy and serene yoga and meditation corner in a living room featuring a textured beige rug, stacked meditation cushions, lit candles, indoor plants, and a wooden side table with a water bottle. The space is bathed in soft natural light through a window with neutral curtains, creating a calming atmosphere perfect for wellness and relaxation.","yoga, meditation, wellness, relaxation, home interior, living room, natural light, candles, indoor plants, succulent, fiddle leaf fig, monstera, cushions, meditation cushions, rug, woven rug, wooden floor, wooden furniture, side table, water bottle, calm, serene, neutral colors, cozy, soft lighting, peaceful, minimalist, interior decor, home wellness, zen, mindfulness, quiet space, decor, natural materials, eco friendly, comfort, tranquil, no people",Lifestyle,[]
concept_003_2.jpg,Cozy At-Home Yoga and Meditation Corner with Cushions and Plants,"A peaceful yoga and meditation corner in a cozy living room featuring a meditation cushion on a larger floor pillow, a woven rug, a small wooden table with a lit candle, incense stick emitting smoke, a water bottle, and small potted plants. The space is softly illuminated by natural daylight from a large window, with a bookshelf and woven basket in the background. The setup emphasizes calm, relaxation, and mindfulness in a warm, inviting atmosphere.","yoga, meditation, meditation corner, yoga cushion, floor pillow, cozy, relaxation, mindfulness, candles, incense, incense stick, lit candle, potted plants, indoor plants, water bottle, natural light, soft daylight, woven rug, wooden floor, wooden table, home interior, living room, calm, serene, peaceful, wellness, healthy lifestyle, zen, quiet space, plant decor, basket, bookshelf, textured cushions, neutral tones, warm light, eco friendly, minimalist, interior design, comfort",Lifestyle,[]
concept_003_3.jpg,Cozy At-Home Yoga and Meditation Corner with Natural Light,"A peaceful and inviting at-home yoga and meditation space featuring a rolled yoga mat, meditation cushions, lit candles, incense holder with smoke, small indoor plants in terracotta pots, and a water bottle. The setting is on a cozy woven rug with soft natural light filtering through a window, creating a warm and calming atmosphere with neutral tones and textures.","yoga, meditation, home, wellness, relaxation, calm, peaceful, natural light, candles, incense, indoor plants, terracotta pots, water bottle, cozy, neutral colors, woven rug, floor seating, cushions, yoga mat, soft lighting, serene, mindfulness, self care, healthy lifestyle, interior, living room, decor, natural textures, wooden floor, wellbeing, zen, quiet space, yoga practice, meditation space, holistic, spa, tranquil",Lifestyle,False
concept_003_4.jpg,Serene At-Home Yoga and Meditation Corner with Natural Light,"Cozy and calming yoga and meditation corner in a living room featuring a beige yoga mat, cushions, folded blanket, lit candle, incense holder with smoke, small indoor plants, water bottle, and neutral-toned decor. Soft natural daylight filters through sheer curtains, creating a warm and inviting atmosphere perfect for relaxation and mindfulness practice.","yoga, meditation, yoga mat, cushions, blanket, candles, incense, indoor plants, water bottle, living room, natural light, soft daylight, neutral colors, calming, relaxation, mindfulness, wellness, cozy, home interior, wooden floor, decor, peaceful, serene, comfortable, healthy lifestyle, self care, spiritual, zen, minimalist, calm atmosphere, soothing, warm tones, houseplants, interior design, quiet space, tranquility, wellbeing",Lifestyle,[]
